City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
391,hirara,24.8,125.2833,26.15,94,75,10.29,JP,1686632009
392,mek'ele,13.4967,39.4753,19.17,60,98,1.88,ET,1686632009
393,baranchinskiy,58.1617,59.6991,14.86,41,0,3.34,RU,1686632009
394,corona de tucson,31.9654,-110.7756,25.75,17,0,3.98,US,1686632009
395,capao da canoa,-29.7456,-50.0097,9.5,66,99,3.82,BR,1686631746
396,mawu,29.5923,107.3139,27.08,61,97,2.03,CN,1686632010
397,grand forks,47.9417,-97.4337,19.82,57,0,3.6,US,1686632010
398,zyryanovsk,49.7386,84.2719,21.05,53,0,0.78,KZ,1686632010
399,phan rang-thap cham,11.5667,108.9833,35.54,43,94,4.9,VN,1686632010
400,sao francisco,-15.9486,-44.8644,22.09,43,76,0.85,BR,1686632010
401,coquimbo,-29.9533,-71.3436,9.85,81,100,1.54,CL,1686631760
402,lubango,-14.9172,13.4925,12.92,50,2,2.06,AO,1686632010
403,constantia,44.1833,28.65,15.39,75,35,7.43,RO,1686632010
404,geraldton,-28.7667,114.6,19.23,39,0,3.09,AU,1686632011
405,manta,-0.95,-80.7333,26.67,89,100,8.05,EC,1686632011
406,saint-joseph,-21.3667,55.6167,26.37,69,3,0.54,RE,1686632011
407,pisco,-13.7,-76.2167,17.79,77,3,2.06,PE,1686632011
408,loja,-3.9931,-79.2042,15.25,91,50,1.79,EC,1686631806
409,nahiyat ash shinafiyah,31.5874,44.6602,36.87,14,0,6.61,IQ,1686632011
410,baruun-urt,46.6806,113.2792,29.45,17,42,2.87,MN,1686632011
411,kushiro,42.975,144.3747,15.53,100,75,2.06,JP,1686632011
412,tirur,10.9,75.9167,26.55,70,100,1.89,IN,1686632012
413,ust'-barguzin,53.45,108.9833,8.51,98,100,0.78,RU,1686632012
414,las heras,-46.5419,-68.9359,-0.44,77,28,4.49,AR,1686632012
415,niort,46.3333,-0.3333,17.32,93,100,2.5,FR,1686632012
416,narok,-1.0783,35.8601,16.59,67,16,0.73,KE,1686632012
417,merizo village,13.2658,144.6691,29.99,81,52,8.2,GU,1686632012
418,ordu,40.9086,37.6845,13.28,97,99,0.54,TR,1686632012
419,cabo san lucas,22.8909,-109.9124,27.25,60,1,7.05,MX,1686631828
420,carranglan,15.9613,121.0641,27.51,87,96,2.41,PH,1686632013
421,new smyrna beach,29.0258,-80.927,27.08,77,75,3.58,US,1686632013
422,bac lieu,9.285,105.7244,31.27,64,88,6.49,VN,1686632013
423,plettenberg bay,-34.0527,23.3716,15.54,61,98,7.16,ZA,1686632014
424,ilam,26.9167,87.9167,25.94,70,47,1.96,NP,1686632014
425,cidade velha,14.9167,-23.6167,25.26,69,0,5.66,CV,1686632014
426,holualoa,19.6228,-155.9522,24.91,85,75,6.69,US,1686632014
427,waingapu,-9.6567,120.2641,28.81,52,46,7.2,ID,1686632014
428,agdam,39.991,46.9274,27.1,51,73,2.18,AZ,1686632014
429,le port,-20.9373,55.2919,27.16,78,7,4.16,RE,1686632015
430,tolanaro,-25.0319,46.9987,19.04,88,0,3.09,MG,1686632015
431,arkalyk,50.2486,66.9114,22.65,45,27,9.22,KZ,1686632015
432,isla vista,34.4133,-119.861,17.13,80,100,3.09,US,1686632015
433,northam,51.0333,-4.2167,15.22,98,26,0.99,GB,1686631858
434,tofol,5.3248,163.0078,28.23,79,100,6.74,FM,1686632015
435,general roca,-39.0333,-67.5833,5.98,42,1,3.9,AR,1686632015
436,fada,9.5667,8.3,19.42,94,88,0.92,NG,1686632015
437,armyansk,46.1092,33.6921,19.91,83,89,6.74,UA,1686632016
438,fortuna,40.5982,-124.1573,12.74,95,100,3.09,US,1686632016
439,makeni,8.8833,-12.05,22.44,99,97,1.13,SL,1686632016
440,winnemucca,40.973,-117.7357,18.03,59,75,3.09,US,1686631817
441,sao raimundo nonato,-9.0153,-42.6994,21.55,76,0,1.49,BR,1686631935
442,coyhaique,-45.5752,-72.0662,-1.66,97,97,2.52,CL,1686632016
443,chonchi,-42.6128,-73.8092,1.56,95,48,0.82,CL,1686632016
444,usinsk,65.9939,57.5281,13.26,80,95,6.51,RU,1686632016
445,belmopan,17.25,-88.7667,31.21,90,6,2.38,BZ,1686632016
446,zhangatas,43.5667,69.75,26.81,18,42,8.42,KZ,1686632017
447,kalach,50.4258,41.0261,11.46,95,100,5.62,RU,1686632017
448,nantucket,41.2835,-70.0995,18.08,98,100,5.66,US,1686631845
449,qujing,25.4833,103.7833,16.42,63,100,2.8,CN,1686632017
450,togur,58.3631,82.8265,10.64,55,58,4.73,RU,1686632017
